Point,X,Y,Wavelength,Velocity
1,1.75,0,2.75,6119.
1,1.75,0,3.25,6380.
1,1.75,0,3.75,6352.
1,1.75,0,4.25,6248.
1,1.75,0,4.75,4390.
1,1.75,0,5.25,4371.
1,1.75,0,5.75,4432.
1,1.75,0,6.25,4540.
1,1.75,0,6.75,4626.
1,1.75,0,7.25,4645.
1,1.75,0,7.75,4583.
1,1.75,0,8.25,4470.
1,1.75,0,8.75,4312.
1,1.75,0,9.25,4206.
1,1.75,0,9.75,4204.
1,1.75,0,10.25,4251.
1,1.75,0,10.75,4310.
1,1.75,0.5,2.75,6459.
1,1.75,0.5,3.25,6316.
1,1.75,0.5,3.75,6311.
1,1.75,0.5,4.25,6495.
1,1.75,0.5,4.75,6098.
1,1.75,0.5,5.25,5557.
1,1.75,0.5,5.75,5568.
1,1.75,0.5,6.25,5662.
1,1.75,0.5,6.75,5734.
1,1.75,0.5,7.25,5702.
1,1.75,0.5,7.75,5690.
1,1.75,0.5,8.25,5717.
1,1.75,0.5,8.75,5643.
1,1.75,0.5,9.25,5284.
1,1.75,0.5,9.75,4967.
1,1.75,0.5,10.25,4891.
1,1.75,0.5,10.75,4882.
1,1.75,0.5,10.75,4882.
1,1.75,1,4.25,6046.
1,1.75,1,4.75,5539.
1,1.75,1,5.25,5393.
1,1.75,1,5.75,5545.
1,1.75,1,6.25,5756.
1,1.75,1,6.75,5912.
1,1.75,1,7.25,5872.
1,1.75,1,7.75,5688.
1,1.75,1,8.25,5622.
1,1.75,1,8.75,5619.
1,1.75,1,9.25,5649.
1,1.75,1,9.75,5720.
1,1.75,1,10.25,5818.
1,1.75,1,10.25,5818.
1,1.75,1.5,3.75,7282.
1,1.75,1.5,4.25,6868.
1,1.75,1.5,4.75,6034.
1,1.75,1.5,5.25,5904.
1,1.75,1.5,5.75,6048.
1,1.75,1.5,6.25,6202.
1,1.75,1.5,6.75,6334.
1,1.75,1.5,7.25,6432.
1,1.75,1.5,7.75,6472.
1,1.75,1.5,8.25,6460.
1,1.75,1.5,8.75,6452.
1,1.75,1.5,9.25,6475.
